Ano,China,Alemanha,Japão,Reino Unido,Estados Unidos,Brasil
1990,8187,53940,50348,74725,321410,4131
1991,8663,53866,53361,75342,331179,4528
1992,10698,57026,57026,80561,339738,5088
1993,12601,61454,65186,88667,384439,5482
1994,13524,69148,74030,168465,417290,6484
1995,16281,74206,76213,105432,426666,7565
1996,19717,77652,82866,107398,429354,8736
1997,21700,87310,86424,109607,430401,10513
1998,26746,90980,91052,113244,427894,12420
1999,29226,90281,89050,113671,420860,13288
2000,39461,92290,95753,118534,435718,14937
2001,46804,91535,94749,114327,425159,15835
2002,53556,93310,97783,114353,441125,17838
2003,65911,95448,102893,116772,461695,19117
2004,83494,101313,103866,120950,488098,21072
2005,103733,103862,103862,124616,493338,22204
2006,128334,110403,109440,132421,509917,25270
2007,151789,121706,111906,140703,526576,31811
2008,180595,126509,110244,145905,539623,37925
2009,211516,132385,112439,152662,555647,40775
2010,215458,134413,109542,157449,558516,43466
2011,259768,138379,108288,161958,573274,45667
2012,296698,143534,114599,170316,606150,49369
2013,325289,147824,116471,179368,620115,52226
2014,355301,152359,115785,182822,636209,54130
2015,390171,158950,113632,198745,650781,62747
