Ano,Estados Unidos,China,Japão,Alemanha,França,Brasil
2000,12713058213400.00,2237080553585.02,5348930987651.78,3123907846524.82,2346484133601.43,1538707417435.78
2001,12837135352100.00,2423651070682.23,5370660990102.80,3176872812245.88,2392344979248.76,1560093406615.63
2002,13066422980900.00,2644946068879.54,5377003782842.02,3176872812245.88,2419102326538.82,1607727796810.37
2003,13433168199500.00,2910382356610.87,5459177414223.93,3154319996078.94,2438927636224.75,1626072083722.29
2004,13941713404100.00,3204657620171.13,5579537554151.22,3191224606760.15,2506886503924.98,1719731819479.50
2005,14408093840400.00,3569853222249.40,5672311469290.65,3213777436171.33,2547190064553.79,1774799957640.26
2006,14792303791800.00,4023919953922.87,5752857406828.16,3332692329600.37,2607684476018.47,1845115804308.01
2007,15055395304800.00,4596579616811.11,5848025943444.33,3441355939341.45,2669264915537.28,1957111987492.35
2008,15011490541400.00,5040346714259.97,5784079007619.91,3478602264776.63,2674477850197.17,2056813970746.82
2009,14594842181900.00,5514129888591.98,5470748521782.47,3283144458441.96,2595812335192.44,2054224996031.67
2010,14964372000000.00,6100620488867.55,5700098114744.41,3417094562648.95,2646837111794.78,2208871646202.82
2011,15204019634600.00,6682402684926.16,5693516670807.52,3542160228939.60,2701870921226.24,2296661602101.93
2012,15542161722300.00,7207389755117.65,5778636370123.56,3559587403262.56,2706807051174.77,2340783923763.47
2013,15802855301300.00,7766512755882.13,5894237388118.86,3577014590829.77,2722404797996.28,2411121329014.44
2014,16177455297100.00,8333286913499.17,5914022267462.79,3646039898346.43,2748201937555.55,2423272459244.85
2015,16640387258901.10,8908300778495.90,5986140110537.86,3709597862509.39,2777537939261.97,2331933197388.04
