Ano,Australia,Denmark,Norway,Germany,Switzerland, Brazil
1990,17.4,14.1,14.0,14.4,13.4,12.2
1991,17.3,14.2,14.3,14.7,13.6,12.4
1992,17.3,14.3,14.5,14.8,13.7,12.6
1993,17.3,14.6,15.1,15.3,14.1,12.8
1994,17.3,14.9,16.1,15.5,14.2,13.0
1995,18.8,15.1,15.6,15.7,14.4,13.3
1996,19.4,15.4,15.8,15.9,14.5,13.5
1997,20.2,15.6,16.0,16.0,14.8,13.7
1998,20.1,15.7,16.9,16.1,15.0,13.9
1999,20.4,16.5,17.1,16.2,15.1,14.1
2000,20.5,16.2,17.5,16.2,15.2,14.3
2001,20.1,16.6,17.1,16.3,15.2,14.6
2002,20.6,16.3,17.1,16.3,15.0,14.8
2003,20.7,16.5,17.5,16.4,15.1,14.0
2004,20.3,16.6,17.6,16.4,15.2,13.8
2005,20.3,16.9,17.5,16.5,15.2,13.8
2006,19.0,16.7,17.6,16.6,15.3,13.5
2007,19.1,16.8,17.6,16.6,15.3,13.3
2008,19.1,16.8,17.4,16.7,15.3,13.8
2009,19.5,16.8,17.4,16.7,15.4,13.8
2010,19.8,16.9,17.6,16.8,15.6,14.0
2011,20.1,18.4,17.6,16.9,15.7,14.2
2012,20.3,18.7,17.5,16.9,15.8,14.2
2013,20.4,19.2,17.7,17.0,15.9,15.2
2014,20.4,19.2,17.7,17.1,16.0,15.2
2015,20.4,19.2,17.7,17.1,16.0,15.2
